Age,Credit amount,Duration,Sex_male,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Housing_own,Housing_rent,Score,Recommendation
24,3190,18,False,False,False,False,False,True,False,False,True,False,0.71,REJECT
35,4380,18,True,True,False,False,False,False,False,False,True,False,0.6,REJECT
32,2325,24,True,True,False,False,False,False,False,False,True,False,0.6,REJECT
23,1297,12,True,False,False,False,False,True,False,False,False,True,0.72,REJECT
35,7253,33,True,True,False,False,False,False,False,False,True,False,0.97,REJECT
64,2384,24,True,False,False,False,False,True,False,False,False,True,0.53,REJECT
41,2116,6,True,False,False,False,True,False,False,False,True,False,0.28,REJECT
20,585,12,True,False,False,False,False,True,False,False,False,True,0.75,REJECT
26,3577,9,True,True,False,False,False,False,False,False,False,True,0.77,REJECT
27,8613,27,True,True,False,False,False,False,False,False,True,False,0.96,REJECT
28,484,6,True,False,False,False,False,True,False,False,True,False,0.51,REJECT
34,3965,42,True,False,False,False,False,True,False,False,True,False,0.89,REJECT
28,1376,24,False,False,False,False,False,True,False,False,True,False,0.43,REJECT
36,7297,60,True,False,False,False,False,False,False,False,False,True,0.98,REJECT
42,6288,60,True,False,False,True,False,False,False,False,False,False,0.98,REJECT
42,4153,18,True,False,False,False,True,False,False,False,True,False,0.43,REJECT
23,3368,15,True,True,False,False,False,False,False,False,False,True,0.48,REJECT
65,1098,18,False,False,False,False,False,True,False,False,True,False,0.38,REJECT
24,2124,18,False,False,False,False,True,False,False,False,False,True,0.23,REJECT
27,3643,15,False,False,False,False,True,False,False,False,True,False,0.42,REJECT
35,8858,48,True,True,False,False,False,False,False,False,False,False,1.0,REJECT
26,3414,21,True,False,False,True,False,False,False,False,True,False,0.5,REJECT
33,6070,18,True,False,False,False,False,True,False,False,True,False,0.25,REJECT
42,1503,4,True,False,False,False,False,True,False,False,True,False,0.13,REJECT
33,3074,9,True,False,False,False,False,True,False,False,True,False,0.43,REJECT
30,1823,24,True,False,False,False,False,True,False,False,True,False,0.54,REJECT
24,2323,36,True,False,False,False,False,True,False,False,False,True,0.72,REJECT
33,6289,42,True,False,False,False,False,False,False,False,True,False,0.9,REJECT
42,10477,36,True,True,False,False,False,False,False,False,False,False,1.0,REJECT
38,2859,12,True,True,False,False,False,False,False,False,True,False,0.2,REJECT
23,882,13,True,False,False,False,False,True,False,False,True,False,0.37,REJECT
44,1881,12,False,False,False,False,False,True,False,False,False,True,0.13,REJECT
32,1530,18,True,True,False,False,False,False,False,False,True,False,0.76,REJECT
28,1323,6,True,True,False,False,False,False,False,False,True,False,0.38,REJECT
36,3079,36,True,True,False,False,False,False,False,False,True,False,0.67,REJECT
36,2760,24,True,True,False,False,False,False,False,False,False,False,0.72,REJECT
30,2862,36,True,True,False,False,False,False,False,False,False,False,0.83,REJECT
52,2133,12,False,True,False,False,False,False,False,False,False,False,0.17,REJECT
44,3485,20,True,True,False,False,False,False,False,False,True,False,0.35,REJECT
23,6229,36,False,False,False,False,True,False,False,False,False,True,0.96,REJECT
31,4473,36,True,False,False,False,False,True,False,False,True,False,0.81,REJECT
61,2012,12,False,False,False,True,False,False,False,False,True,False,0.29,REJECT
26,3749,24,False,False,False,False,True,False,False,False,True,False,0.5,REJECT
33,2831,30,False,False,False,False,False,True,False,False,True,False,0.54,REJECT
32,2745,21,True,False,False,False,True,False,False,False,True,False,0.43,REJECT
49,1262,12,True,False,False,False,True,False,False,False,True,False,0.11,REJECT
55,6872,24,True,False,False,False,True,False,False,False,True,False,0.61,REJECT
30,918,9,False,False,False,False,True,False,False,False,True,False,0.14,REJECT
26,609,12,False,False,False,False,False,False,False,False,True,False,0.17,REJECT
23,601,4,False,False,False,False,True,False,False,False,False,True,0.41,REJECT
23,3234,24,False,False,False,False,True,False,False,False,False,True,0.59,REJECT
36,6742,30,True,False,False,False,False,True,False,False,True,False,0.87,REJECT
55,1603,24,False,False,False,False,False,True,False,False,True,False,0.42,REJECT
27,2820,36,True,True,False,False,False,False,False,False,True,False,0.64,REJECT
44,1804,12,True,True,False,False,False,False,False,False,True,False,0.08,APPROVE
36,1913,18,True,False,False,False,False,False,False,False,True,False,0.63,REJECT
37,3676,6,True,True,False,False,False,False,False,False,False,True,0.24,REJECT
25,1295,12,False,True,False,False,False,False,False,False,False,True,0.2,REJECT
23,1200,12,False,False,False,True,False,False,False,False,False,True,0.28,REJECT
27,1101,12,True,True,False,False,False,False,False,False,True,False,0.12,REJECT
20,4675,12,False,True,False,False,False,False,False,False,False,True,0.74,REJECT
57,2225,36,True,True,False,False,False,False,False,False,False,False,0.82,REJECT
31,6350,30,True,False,False,False,True,False,False,False,True,False,0.83,REJECT
55,1413,12,True,True,False,False,False,False,False,False,True,False,0.03,APPROVE
23,1275,10,False,False,False,False,True,False,False,False,True,False,0.03,APPROVE
29,2896,24,True,False,False,False,False,True,False,False,True,False,0.33,REJECT
50,2241,21,True,False,False,False,True,False,False,False,True,False,0.34,REJECT
27,2389,18,False,False,False,False,False,True,False,False,True,False,0.78,REJECT
30,8133,36,False,True,False,False,False,False,False,False,True,False,0.98,REJECT
34,2864,18,True,False,False,False,True,False,False,False,True,False,0.25,REJECT
32,6078,12,True,True,False,False,False,False,False,False,True,False,0.5,REJECT
38,368,6,True,False,False,False,False,True,False,False,True,False,0.06,APPROVE
58,385,12,False,False,False,False,False,True,False,False,True,False,0.03,APPROVE
23,1048,10,True,False,False,False,False,True,False,False,True,False,0.46,REJECT
44,6419,24,False,True,False,False,False,False,False,False,False,False,0.8,REJECT
48,1024,24,True,False,False,False,False,True,False,False,True,False,0.52,REJECT
45,2303,24,True,True,False,False,False,False,False,False,True,False,0.15,REJECT
24,458,9,True,False,False,False,False,True,False,False,True,False,0.57,REJECT
60,2246,12,True,False,False,False,True,False,False,False,True,False,0.17,REJECT
33,727,12,True,False,False,False,False,True,False,False,True,False,0.1,APPROVE
26,1453,18,False,False,False,False,False,True,False,False,True,False,0.63,REJECT
29,2171,12,False,False,False,False,False,True,False,False,True,False,0.07,APPROVE
32,2697,9,True,False,False,False,False,True,False,False,True,False,0.51,REJECT
22,1007,12,True,True,False,False,False,False,False,False,True,False,0.51,REJECT
32,701,12,True,False,False,True,False,False,False,False,True,False,0.23,REJECT
24,626,12,False,False,False,False,False,True,False,False,True,False,0.21,REJECT
23,1845,45,True,False,False,False,False,True,False,False,False,False,0.7,REJECT
27,14027,60,True,True,False,False,False,False,False,False,True,False,1.0,REJECT
25,5771,30,False,False,False,False,False,True,False,False,True,False,0.96,REJECT
34,1525,24,False,True,False,False,False,False,False,False,True,False,0.69,REJECT
25,1283,22,False,True,False,False,False,False,False,False,False,True,0.44,REJECT
29,518,6,False,False,False,False,False,True,False,False,True,False,0.26,REJECT
53,7119,48,True,False,False,False,True,False,False,False,False,False,0.93,REJECT
24,3021,24,True,False,False,False,True,False,False,False,False,True,0.33,REJECT
38,2751,48,True,True,False,False,False,False,False,False,True,False,0.71,REJECT
23,660,6,True,False,False,False,False,False,True,False,False,True,0.32,REJECT
27,2463,24,True,True,False,False,False,False,False,False,True,False,0.71,REJECT
30,2249,18,True,True,False,False,False,False,False,False,True,False,0.51,REJECT
25,14421,48,True,False,False,False,False,False,False,False,True,False,0.99,REJECT
33,3966,18,False,True,False,False,False,False,False,False,False,True,0.44,REJECT
40,3077,30,True,False,False,False,False,True,False,False,True,False,0.4,REJECT
29,959,9,False,False,False,False,True,False,False,False,True,False,0.1,APPROVE
28,745,9,False,False,False,False,False,True,False,False,True,False,0.15,REJECT
35,2684,24,True,False,False,False,False,True,False,False,True,False,0.29,REJECT
47,1393,12,True,False,False,True,False,False,False,False,True,False,0.2,REJECT
32,1880,18,True,False,False,False,False,True,False,False,True,False,0.6,REJECT
67,1199,9,False,False,False,True,False,False,False,False,True,False,0.12,REJECT
30,3069,24,True,False,False,False,True,False,False,False,False,False,0.32,REJECT
25,3972,24,False,False,False,False,True,False,False,False,False,True,0.6,REJECT
68,14896,6,True,True,False,False,False,False,False,False,True,False,0.56,REJECT
31,2302,36,True,False,False,False,False,True,False,False,False,True,0.8,REJECT
47,731,8,True,True,False,False,False,False,False,False,True,False,0.3,REJECT
25,1433,15,False,False,False,False,True,False,False,False,False,True,0.28,REJECT
62,1338,6,True,False,True,False,False,False,False,False,True,False,0.14,REJECT
27,1295,18,False,False,False,False,True,False,False,False,True,False,0.3,REJECT
36,1872,6,True,False,False,False,True,False,False,False,False,False,0.18,REJECT
36,884,18,True,True,False,False,False,False,False,False,True,False,0.41,REJECT
47,2538,24,True,True,False,False,False,False,False,False,True,False,0.44,REJECT
25,3105,24,True,False,False,False,False,True,False,False,True,False,0.49,REJECT
46,7629,48,True,False,False,False,False,False,False,False,True,False,0.99,REJECT
38,2171,12,True,True,False,False,False,False,False,False,True,False,0.13,REJECT
21,2779,18,True,True,False,False,False,False,False,False,False,True,0.42,REJECT
25,1138,9,True,False,False,False,False,True,False,False,True,False,0.56,REJECT
27,1657,12,True,False,False,False,True,False,False,False,True,False,0.19,REJECT
61,2767,21,True,False,False,False,False,False,False,False,False,True,0.4,REJECT
31,1928,18,True,False,False,False,True,False,False,False,True,False,0.53,REJECT
33,2384,36,True,False,False,False,False,False,True,False,False,True,0.54,REJECT
41,1244,9,False,False,False,True,False,False,False,False,False,True,0.17,REJECT
42,3331,12,True,False,False,False,True,False,False,False,True,False,0.19,REJECT
54,1597,24,True,False,False,True,False,False,False,False,False,False,0.25,REJECT
32,3863,24,True,False,False,False,False,False,False,False,False,False,0.63,REJECT
57,709,12,True,False,False,False,False,True,False,False,True,False,0.06,APPROVE
37,802,15,True,False,False,False,False,True,False,False,True,False,0.04,APPROVE
31,1736,12,False,False,False,False,True,False,False,False,True,False,0.73,REJECT
41,662,6,True,True,False,False,False,False,False,False,True,False,0.32,REJECT
26,783,6,True,True,False,False,False,False,False,False,True,False,0.58,REJECT
25,1835,21,False,False,False,False,False,True,False,False,True,False,0.61,REJECT
39,932,6,False,False,False,True,False,False,False,False,True,False,0.08,APPROVE
36,1374,6,True,False,False,False,True,False,False,False,True,False,0.29,REJECT
51,1164,8,True,False,False,False,False,False,False,True,False,False,0.32,REJECT
58,6143,48,False,True,False,False,False,False,False,False,False,False,0.95,REJECT
35,1204,6,True,True,False,False,False,False,False,False,False,True,0.48,REJECT
24,433,6,False,False,False,True,False,False,False,False,False,True,0.4,REJECT
50,1574,12,True,False,False,False,True,False,False,False,True,False,0.27,REJECT
34,5800,36,True,True,False,False,False,False,False,False,True,False,0.99,REJECT
31,3161,24,True,False,False,False,False,False,False,False,False,True,0.49,REJECT
